Produkt - Produkt,Kassationsårsag (ui),Stk. tøj per kassationsdato,Dage i cirkulation,Total antal vask,Unik Kode (ui),Kategori
23188 Nederdel Cheans,Udgået Model,1,1867,26,30155C97D461A7C0007765FD,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1866,26,30155C97D461A7C000F7FA55,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1866,10,30155C97D461A7C0011A32D9,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1865,8,30155C97D461A7C000F7C893,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1864,116,30155C97D461A7C000D5D7DC,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1863,76,30155C97D461A7C000F7D082,Andet
09886 Kokkeja tryk k/æ bordeaux,Udgået Model,1,1860,37,30155C97D461A7C0013D935F,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1858,27,30155C97D461A7C000EA934E,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1855,85,30155C97D461A7C0011A402B,Andet
23180 Tunika da m trykknap Ocean,Bortkommet med restværdi,1,1852,43,30155C97D461A7C000D5D79E,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1851,33,30155C97D461A7C0010A3735,Andet
23180 Tunika da m trykknap Ocean,Alm.slid uden restværdi,1,1850,15,30155C97D461A7C0011A49C5,Andet
